album,total_m,m_comments,m_ratio,total_comments,m_per_comment,m_per_comment_l95,m_per_comment_user,avg_date,m_over_xM,m_over_xM_rank,Primary Genre
Deathspell-Omega-Si-Monvmentvm-Reqvires-Circvmspice,6,6,1,107,0.056074766355140186,0.02565368506985386,0.03204275310997389,2013-11-13,2.5714254172327937,150,Black Metal
Mastodon-Leviathan,55,54,1.0185185185185186,2285,0.024070021881838075,0.019154921015264934,0.022952995443789585,2014-09-26,2.5524054109407994,151,Sludge Metal
Akercocke-Words-That-Go-Unspoken...,8,8,1,145,0.05517241379310345,0.028708532112336184,0.03777181712562978,2015-05-24,2.5230865167836822,152,Death Metal
Anthrax-Among-the-Living,20,20,1,441,0.045351473922902494,0.030764014015507553,0.039690876192959426,2015-01-14,2.4963235989048926,153,Thrash Metal
Cult-of-Luna-Salvation,18,18,1,831,0.021660649819494584,0.014279204388689633,0.018686885312637683,2013-02-15,2.4711983051980844,154,Post Metal
Dio-The-Last-in-Line,5,5,1,114,0.043859649122807015,0.017940610624402248,0.02222418044741041,2012-06-13,2.466443428995213,155,Heavy Metal
Meshuggah-I,9,9,1,372,0.024193548387096774,0.01299288386085271,0.017612691545067092,2012-12-22,2.4480787452350414,156,Progressive Metal
Norther-Mirror-of-Madness,3,3,1,45,0.06666666666666667,0.018651072549145734,0.013584549161168488,2010-11-12,2.388695287747418,157,Melodic Death Metal
Dark-Tranquillity-The-Gallery,30,23,1.3043478260869565,1024,0.029296875,0.02140101951834882,0.026979322714118015,2013-10-16,2.373173540743153,158,Melodic Death Metal
Amorphis-Tales-From-the-Thousand-Lakes,5,5,1,106,0.04716981132075472,0.019354381893424095,0.025092296633071165,2014-01-19,2.340216556894457,159,Melodic Death Metal
Vio-Lence-Eternal-Nightmare,4,4,1,91,0.04395604395604396,0.015378276273324797,0.018551446035888274,2012-05-30,2.3118184107341673,160,Thrash Metal
Accept-Balls-to-the-Wall,4,4,1,95,0.042105263157894736,0.014692947031855502,0.0179340996816673,2012-10-03,2.2962605302416064,161,Heavy Metal
Melvins-Bullhead,6,5,1.2,177,0.03389830508474576,0.015266054507935303,0.021049259195331297,2015-01-02,2.2742811224263604,162,Sludge Metal
Melvins-Houdini,6,6,1,240,0.025,0.011185833178464805,0.01639939654044543,2013-06-27,2.0641448302930967,163,Sludge Metal
Saint-Vitus-Born-Too-Late,8,8,1,209,0.03827751196172249,0.019754291260305184,0.028479002622794288,2014-09-22,2.0478884518359934,164,Doom Metal
Incantation-Diabolical-Conquest,8,8,1,209,0.03827751196172249,0.019754291260305184,0.028705504546146555,2014-12-02,2.0005495498553696,165,Death Metal
Machine-Head-Burn-My-Eyes,5,5,1,101,0.04950495049504951,0.02035658682714722,0.029719574361386204,2015-10-07,1.9983229894999937,166,Thrash Metal
